"url_host_name","Month","sample_path"
"covid19central.ca","July","/global-impact/2020/04/17/the-global-macroeconomic-impacts-of-covid-19-seven-scenarios/"
"www.crestonvalleyadvance.ca","July","/opinion/column-economic-impact-of-covid-19-will-be-enormous-and-difficult-to-estimate/"
"www.thelasallenetwork.com","July","/lasalle-network-blog/global-economic-impact-covid-19/"
"casperwyoming.org","July","/news/2020/sba-offers-disaster-assistance-to-wyoming-small-businesses-economically-impacted-by-the-coronavirus-covid-19"
"cseinstitute.org","July","/making-ends-meet-the-economic-impact-of-covid-19-on-victimization-by-sex-traffickers-and-sex-buyers/"
"csg-erc.org","July","/economic-impacts-of-covid-19-on-the-agriculture-and-rural-sectors/"
"csg-erc.org","July","/economic-impacts-of-covid-19-on-the-agriculture-and-rural-sectors/"
"www.csis.org","July","/events/online-event-global-economic-impact-covid-19-women"
"www.csis.org","July","/podcasts/smart-women-smart-power-podcast/global-economic-impact-covid-19-women"
"cskteconomics.org","July","/8-news/53-sba-update-6-15-20-2nd-update-today-sba-s-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic"
"lasverdades.net","October","/economicas/la-fao-apuesta-a-la-digitalizacion-para-mitigar-impactos-del-covid-19-en-sistemas-alimentarios/"
"lasverdades.net","October","/economicas/un-85-de-empresas-sintio-impacto-del-covid-en-ventas/"
"lachlansoper.com.au","October","/health-economic-impacts-of-covid-19-a-very-tough-moral-and-ethical-discussion/"
"innovationwomen.com",,"/event/transform-series-the-economic-impact-of-covid-19/"
"www.indonesia-investments.com",,"/id/news/news-columns/analysis-of-indonesia-s-economic-growth-in-q2-2020-feeling-the-peak-impact-of-the-covid-19-crisis/item9322"
"www.marshall.edu","July","/ucomm/2020/04/06/mu-business-dean-available-for-interviews-about-economic-impact-of-covid-19/"
"www.mei.edu","July","/publications/economic-impact-covid-19-turkey"
"travelweekly.asia","July","/2020/05/28/economic-impact-of-covid-19-on-africa-atb-webinar/"
"abac.ph","October","/2020/08/06/regional-experts-weigh-in-on-the-economic-impact-of-covid-19/"
"www.agriculture.com.ph","October","/2020/06/27/turning-the-negative-economic-impact-of-covid-19-situation-into-an-agricultural-boost/"
"www.libelium.com","October","/libeliumworld/urgent-control-of-air-pollution-to-reduce-economic-and-social-impact-of-covid-19/"
"ahdbonline.com","October","/articles/2983-economic-impact-of-the-covid-19-crisis"
"casterbridgewealth.co.uk",,"/looking-at-the-economic-impact-of-covid-19-13-03-2020/2020/03/26/"
"buildingbridges.space",,"/sindillar-launches-resistance-campaign-to-address-the-economic-and-labour-impacts-of-the-covid-19-quarantine/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/imf-how-asia-can-navigate-the-long-term-economic-impact-of-covid-19/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-economic-and-social-impacts-of-coronavirus-covid-19/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-economic-impact-of-covid-19-on-smes-in-europe/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-economic-impact-of-covid-19-on-smes-in-europe/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-territorial-economic-impact-of-covid-19-in-the-eu-a-rhomolo-analysis/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/tracking-the-economic-impact-of-covid-19-and-mitigation-policies-in-europe-and-the-united-states/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/tracking-the-economic-impact-of-covid-19-and-mitigation-policies-in-europe-and-the-united-states/"
"www.eu-asean.eu",,"/single-post/2020/05/04/eu-asean-business-insight-piece-economic-impact-of-covid-19-on-asean-need-for-a-regiona"
"blogs.eui.eu",,"/medirections/corona-i-will-die-hunger-socio-economic-impact-covid-19-syrian-population-new-challenges-regime/"
"fbf.eui.eu",,"/assessing-the-economic-impact-of-covid-19/"
"beinglibertarian.com","October","/economic-impact-of-covid-19-freedom-philosophy/"
"beirnewealth.com","October","/insights/economic-impact-of-covid-19-3-next-steps-for-those-struggling-financially"
"www.peihrtoolkit.ca",,"/eenhanced-employment-and-economic-opportunities-for-island-students-impacted-by-covid-19/"
"www.petawawa.ca",,"/business/economic-development/business-supports-for-sme-s-impacted-by-covid-19/canada-emergency-commercial-rent-assistance-cecra-1980.html"
"www.fmunderground.net",,"/middle-market-business-index-shows-long-term-economic-impact-of-covid-19.html"
"www.cityscape-intelligence.com","July","/residential/uae-economic-stimulus-package-offset-impact-covid-19"
"www.powerpoll.com",,"/chattanooga/articles/chattanooga-leaders-worried-about-economic-impact-of-covid-19-split-on-erlanger-future-936"
"avasant.com",,"/report/computer-economics-revisiting-the-impact-of-covid-19-on-it-organizations-in-2020/"
"www.agriculture.com.ph","July","/2020/06/27/turning-the-negative-economic-impact-of-covid-19-situation-into-an-agricultural-boost/"
"www.asteria.com.ph","July","/recovering-from-the-economic-impacts-of-covid-19"
"wsbdc.org","July","/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.thailand-business-news.com","October","/economics/79869-the-impact-of-covid-19-on-thailands-economy.html"
"soflobusinesscouncil.com","October","/back-to-business%E2%80%93economic-impacts-of-the-covid-19-pandemic.php"
"impact.jpmorganchase.com","July","/institute/research/small-business/the-economic-impacts-of-covid-19-on-small-business"
"institute.jpmorganchase.com","July","/institute/research/small-business/the-economic-impacts-of-covid-19-on-small-business"
"www.unicnairobi.org","October","/news-and-events/launch-of-report-on-socio-economic-impacts-of-covid-19/"
"unitetheunion.org","October","/news-events/news/2020/july/job-losses-at-reach-another-example-of-economic-impact-of-covid-19-says-unite/"
"www.unsouthsouth.org",,"/2020/10/12/health-and-socio-economic-impact-of-covid19-challenges-and-opportunities/"
"covid-19-response.unstatshub.org",,"/posts/measuring-the-economic-impact-of-the-covid-19-crisis-in-romania/"
"africa.unwomen.org",,"/en/news-and-events/stories/2020/05/increasing-resilience-of-vulnerable-women-to-the-socio-economic-impact-of-covid19-crisis-in-rwanda"
"jordan.unwomen.org",,"/en/news/stories/2021/june/jonap-national-forum-addresses-the-social-and-economic-impact-of-covid-19-on-women"
"www.unwto.org",,"/events/unwto-casa-arabe-webinar-on-the-economic-impact-of-covid-19-on-the-tourism-sector-in-the-arab-world"
"vista.today",,"/2021/01/ccedcs-17th-annual-economic-outlook-examines-impacts-of-covid-19-on-post-election-economy/"
"scholars.okstate.edu",,"/en/publications/action--economic-impacts-of-covid-19-on-revenues-of-the-state-of-oklahoma/"
"en.unesco.org","July","/news/building-urban-evidence-base-social-and-economic-impacts-covid-19-sub-saharan-africa"
"www.unescwa.org","July","/publications/socioeconomic-impact-covid-19-policy-briefs"
"gcc.unfpa.org","July","/en/publications/socio-economic-impact-covid-19-outbreak-omani-women"
"gcc.unfpa.org","July","/en/publications/socio-economic-impact-covid-19-outbreak-omani-women"
"gcc.unfpa.org","July","/en/publications/socio-economic-impact-covid-19-outbreak-omani-women"
"gcc.unfpa.org","July","/en/publications/socio-economic-impact-covid-19-outbreak-omani-women"
"gcc.unfpa.org","July","/en/publications/socio-economic-impact-covid-19-outbreak-omani-women"
"www.unhcr.org","July","/en-au/news/briefing/2020/5/5eccbfec4/urban-refugees-struggling-survive-economic-impact-covid-19-worsens-east.html"
"www.unhcr.org","July","/en-my/news/briefing/2020/5/5eccbfec4/urban-refugees-struggling-survive-economic-impact-covid-19-worsens-east.html"
"www.unhcr.org","July","/en-us/news/briefing/2020/5/5eccbfec4/urban-refugees-struggling-survive-economic-impact-covid-19-worsens-east.html"
"www.unhcr.org","July","/news/briefing/2020/5/5eccbfec4/urban-refugees-struggling-survive-economic-impact-covid-19-worsens-east.html"
"www.unhcr.org","July","/news/briefing/2020/5/5eccbfec4/urban-refugees-struggling-survive-economic-impact-covid19-worsens-east.html"
"www.unido.org","July","/news/unido-norway-help-smes-mitigate-negative-economic-impact-covid-19"
"medlancr.com","October","/economic-outlook-frontier-markets-yet-to-feel-impact-of-covid-19-commodity-markets-could-see-long-term-changes/"
"downtownlongbeach.org","July","/sba-offers-disaster-assistance-to-california-small-businesses-economically-impacted-by-the-coronavirus-covid-19/"
"vietnam.vnanet.vn",,"/spanish/hanoi-mantiene-crecimiento-economico-a-pesar-del-impacto-del-covid-19/474094.html"
"www.myerson.co.uk","October","/news-insights-and-events/corporate-insolvency-and-governance-act-2020-managing-the-economic-impact-of-covid-19-on-business"
"steveadubato.org","July","/rep-gottheimer-on-the-long-term-economic-impact-of-covid-19.html"
"www.stlouisfed.org","July","/publications/bridges/volume-1-2020/economic-impact-covid19-eighth-district"
"ruvid.org","July","/ri-world/the-csic-promotes-four-projects-by-valencian-scientists-to-address-the-economic-and-social-impact-of-covid-19/"
"liveafricanews.com","October","/teen-pregnancies-and-stifled-economic-opportunity-the-impact-of-covid-19-on-women/"
"dcapartners.com","July","/economic-update-likely-impact-of-covid-19-on-the-local-economy/"
"dcapartners.com","July","/economic-update-likely-impact-of-covid-19-on-the-local-economy/"
"www2.deloitte.com","July","/us/en/insights/economy/covid-19/economic-impact-covid-19.html"
"newsfor.id",,"/indonesia-boosts-tax-incentives-to-limit-economic-impact-from-covid/"
"knti.or.id",,"/the-socio-economic-impact-of-small-scale-fisher-and-aquaculture-in-the-covid-19-outbreak/"
"www.postcrescent.com","October","/story/money/2020/10/09/wisconsin-businesses-brace-economic-impact-covid-19-cases-soar/3623210001/"
"amp.postcrescent.com","October","/story/money/2020/10/09/wisconsin-businesses-brace-economic-impact-covid-19-cases-soar/3623210001/"
"uw-media.postcrescent.com","October","/story/money/2020/10/09/wisconsin-businesses-brace-economic-impact-covid-19-cases-soar/3623210001/"
"www.postdator.com","October","/new-credit-relief-measures-to-mitigate-the-economic-impact-of-covid-19-bank-of-uganda/"
"boulderchamber.com","July","/2020/03/26/approval-unlocks-billions-in-economic-recovery-loans-for-small-businesses-impacted-by-covid-19/"
"respondfirst.com.au","July","/articles/2020-03-23-what-are-the-economic-impacts-of-covid-19-on-food-businesses"
"esacentral.org.au","July","/book-event/42629/the-economic-impact-of-the-covid-19-epidemic-online-only"
"esacentral.org.au","July","/event/42629/the-economic-impact-of-the-covid-19-epidemic-online-only"
"centerbeijing.yale.edu","October","/event/2020/05/economic-impact-under-covid-19-pandemic"
"yaleglobal.yale.edu","October","/content/economic-impacts-covid-19"
"www.coaa.ab.ca","July","/events/coaa-curt-webinar-economic-impacts-of-covid-19/"
"www.advisor.ca","July","/news/economic/statscan-tracks-economic-impact-of-covid-19/"
"www.alaskahighwaynews.ca","July","/business/fort-st-john-chamber-monitoring-local-economic-impacts-of-covid-19-1.24098504"
"www.amrc.org.hk",,"/content/social-and-economic-impacts-covid-19-pandemic-vulnerable-groups-tuk-tuk-drivers-street"
"www.amrc.org.hk",,"/content/study-economic-and-social-impacts-covid-19-informal-migrant-workers-hanoi-and-ho-chi-minh"
"www.wnypapers.com","October","/news/article/current/2020/05/06/141364/sba-to-make-economic-injury-disaster-loans-available-to-agricultural-businesses-impacted-by-covid-19"
"www.wnypapers.com","October","/news/article/current/2020/06/16/141949/sbas-economic-injury-disaster-loans-advance-program-reopened-to-all-eligible-small-businesses-and-nonprofits-impacted-by-covid-19"
"www.wolftheiss.com","October","/bg/knowledge/detail/serbia-government-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak/"
"www.wolftheiss.com","October","/bg/knowledge/detail/serbia-new-state-support-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak/"
"www.wolftheiss.com","October","/hu/knowledge/detail/serbia-government-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak/"
"www.wolftheiss.com","October","/hu/knowledge/detail/serbia-new-state-support-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak/"
"www.wolterskluwer.com","October","/en/expert-insights/the-economic-impact-of-covid19-on-physicians"
"www.wolterskluwer.com","October","/en/expert-insights/the-economic-impact-of-covid19-on-physicians"
"lrus.wolterskluwer.com","October","/news/banking-finance/federal-rates-slashed-again-financial-regulators-combat-economic-impact-of-covid-19/108281/"
"voiceonline.com",,"/economic-impacts-of-covid-19-fiscal-year-ended-with-321m-million-deficit/"
"www.cherryprofessional.co.uk","October","/events/webinar-sbas-economic-injury-disaster-loan-program-for-businesses-impacted-by-covid-19-learn-about-it-and-how-to-apply"
"cklg.co.uk","October","/the-economic-impact-of-covid-19-what-does-it-mean-"
"jimmybudhi.com","October","/the-government-announces-second-economic-stimulus-to-address-the-impact-of-covid-19/"
"thebusiness.com.pk","July","/sbp-and-pba-join-forces-to-cope-with-economic-impact-of-covid-19-pandemic/"
"www.trincoll.edu",,"/president/letters-to-the-community/letter-to-the-community-about-the-economic-impact-of-the-covid-19-pandemic/"
"uwm.edu",,"/urban-studies/new-uwm-center-for-economic-development-report-on-milwaukees-racial-divide-and-the-impact-of-covid-19-just-released/"
"www.russia-briefing.com","October","/news/social-economic-impact-covid-19-russia-recovery-potential.html/"
"www.birmingham.ac.uk","October","/research/city-redi/wm-redi/economic-social-impacts-of-covid19-on-the-west-midlands.aspx"
"www.sheffield.ac.uk","October","/economics/research/public-policy/impact-health-work/health-work-and-covid-19"
"research.brighton.ac.uk","October","/en/publications/the-economic-impact-of-the-coronavirus-2019-covid2019-implication"
"pureportal.strath.ac.uk","October","/en/publications/economic-impact-of-covid-19-on-community-pharmacy"
"www.econ.cam.ac.uk","October","/news/rauh-economic-impact-from-covid"
"www.cardiff.ac.uk","October","/news/view/2410317-economic-impact-of-covid-19-compounding-existing-inequalities-in-wales,-report-finds"
"plowsandpolitics.com","October","/2020/05/04/sba-to-make-economic-injury-disaster-loans-available-to-u-s-agricultural-businesses-impacted-by-covid-19-pandemic/"
"smeru.or.id","July","/en/content/labor-force-situations-economic-sectors-impacted-covid-19-pandemic"
"www.smeru.or.id","July","/en/content/labor-force-situations-economic-sectors-impacted-covid-19-pandemic"
"mbb.org.mt","July","/projects/ongoing/invest-ongoing/invest-workshop-the-economic-impact-caused-by-covid-19/"
"www.asiaglobalinstitute.hku.hk","July","/news-post/global-economic-impacts-of-covid-19"
"fightcovid19.hku.hk","July","/social-and-economic-impacts-of-covid-19-on-east-and-southeast-asia/"
"www.tofler.in","October","/blog/newsletter/how-can-businesses-deal-with-the-economic-impact-of-covid-19/"
"rsmus.com","July","/economics/coronavirus-resource-center/assessing-the-impact-of-covid-19-pandemic-on-investment-valuatio.html"
"www.idrc.ca","October","/en/project/addressing-socioeconomic-impacts-covid-19-gender-lens-food-systems-labour-markets-and-social"
"www.idrc.ca","October","/en/project/mitigating-socio-economic-impacts-covid-19-and-promoting-post-pandemic-resilience-uganda"
"www.idrc.ca","October","/en/project/socio-economic-impact-covid-19-african-economies-social-cohesion-and-governance-evidence"
"indigenoustourism.ca","October","/corporate/itac-and-conference-board-of-canada-to-conduct-survey-on-economic-impact-of-covid-19/"
"www.wortfm.org","October","/ian-coxhead-on-economic-impacts-of-covid-19/"
"wscadv.org","October","/events/moneytalk-economic-impact-of-covid-19-on-survivors/"
"srcic.com","July","/news/stablilize-the-economic-impact-of-covid-19/"
"www.spiritedbiz.com","July","/economic-impact-of-covid-19-new-report-from-sonoma-state-university-shows-9-6-billion-loss-to-ca-economy-from-wine-industry-decline/"
"www.rbcwealthmanagement.com",,"/ca/fr/cmp/understanding-the-economic-impact-of-covid-19"
"rbfirehose.com",,"/2020/11/29/the-economic-impacts-of-covid-19-evidence-from-a-new-public-database-built-using-private-sector-data-opportunity-insight/"
"www.rcnky.com",,"/articles/2020/07/09/economic-impact-covid-19-nku-59-million"
"104.237.150.195","July","/news-analysis-and-views/economic-impact-of-covid-19"
"foodindustry.asia","July","/news/2020/fia-and-oxford-economics-report-finds-the-impact-of-covid-19-on-asias-food-trade-to-be-minimum-at-present"
"ukchamberofshipping.com",,"/coronavirus-covid-19-update/ecsa-survey-economic-impact-covid-19-eu-shipping-industry-and-effectiveness-national-and-eu-measures/"
"unravelecon.com",,"/2020/04/15/economic-impact-of-covid-19-part-1/"
"yaleglobal.yale.edu",,"/content/economic-impacts-covid-19"
"p3rc.uic.edu",,"/news-stories/p3rc-director-lisa-powell-joins-the-economic-and-fiscal-impact-group-to-assess-the-impact-of-covid-19-across-illinois/"
"www.hsccpa.com",,"/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.hsccpa.com",,"/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/embed/"
"hsjchronicle.com",,"/group-of-socal-counties-demand-state-do-more-to-help-businesses-with-economic-impact-of-covid/"
"hospitalitytech.com",,"/economic-impact-covid-19-hotel-industry"
"arizonarealestatenotebook.com",,"/covid-19-mask-moratoriums-mask-economic-impacts-of-covid-19-on-housing-market-2020/"
"newsbook.com.mt","October","/en/parliamentary-committee-launches-debate-on-economic-impact-of-covid-19/"
"www.laotraverdad.info","October","/amb-y-transmetro-urgen-al-gobierno-definir-medidas-economicas-ante-impacto-del-covid-19-en-el-transporte-publico-de-pasajeros/"
"www.vi.gov","July","/spring-revenue-estimating-conference-spotlights-economic-scope-and-impact-of-covid-19-pandemic/"
"www.commerce.wa.gov","July","/news-releases/u-s-small-business-administration-disaster-assistance-now-available-to-all-washington-small-businesses-economically-impacted-by-covid-19/"
"housedemocrats.wa.gov","July","/blog/2020/04/03/dem-budget-leaders-support-reductions-to-address-economic-impacts-of-covid-19/"
"nwdistrict.ifas.ufl.edu","October","/phag/2020/05/08/sba-to-make-economic-injury-disaster-loans-available-to-agricultural-businesses-impacted-by-covid-19-pandemic/"
"fsi.stanford.edu","October","/events/social-and-economic-impact-covid-19-asia-and-beyond"
"site.caes.uga.edu","October","/georgiaturf/2020/09/preliminary-economic-impact-of-covid-19-on-green-industry-sales-in-the-southeastern-u-s/"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/following-economic-impact-covid-19"
"siepr.stanford.edu","October","/news/following-economic-impact-covid-19"
"plowsandpolitics.com",,"/2020/05/04/sba-to-make-economic-injury-disaster-loans-available-to-u-s-agricultural-businesses-impacted-by-covid-19-pandemic/"
"press.pirelli.com",,"/pirelli-launches-actions-to-mitigate-economic-impacts-linked-to-covid-19/"
"www.internetpearl.com",,"/economic-impact-of-covid-19/"
"www.irvineglobalmarkets.com",,"/news/p/item/24768/sba-offers-disaster-assistance-to-california-small-businesses-economically-impacted-by-the-coronavirus-covid19"
"venturexchange.hr","July","/2020/05/05/the-economic-impact-of-covid-19-in-croatia/hrk/"
"www.writersunion.ca","May","/economic-impact-covid-19"
"ccmoianes.cat","May","/actualitat/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya-avancament-dades-abril-2020/"
"www.ccmoianes.cat","May","/actualitat/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya-avancament-dades-abril-2020/"
"ccmoianes.webmunicipal.diba.cat","May","/actualitat/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya-avancament-dades-abril-2020/"
"ccmoianes.webmunicipal.diba.cat","May","/actualitat/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya-avancament-dades-abril-2020/"
"www.douglascountyherald.com",,"/2020/06/18/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.dovepress.com",,"/economic-impact-of-covid-19-lockdown-on-italian-nhs-focus-on-diabetes--peer-reviewed-fulltext-article-CEOR"
"www.canada.ca",,"/en/department-finance/news/2020/03/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19.html"
"www.canada.ca",,"/en/department-finance/news/2020/03/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19.html"
"www.canada.ca",,"/en/economic-development-southern-ontario/news/2020/11/government-of-canada-investments-in-digital-main-street-support-businesses-and-students-to-weather-the-impacts-of-covid-19-and-prepare-for-future-g.html"
"www.canada.ca",,"/en/social-sciences-humanities-research/news/2020/09/latest-covid-19-research-investment-supports-knowledge-exchange-on-social-cultural-and-economic-impact-of-covid-19.html"
"canwcc.ca",,"/event/group-discussion-social-and-economic-impacts-of-the-covid-19-pandemic/"
"districtmeasured.com","October","/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"www.dixcart.com","October","/economic-substance-requirements-and-the-impact-of-covid-19/"
"childcarecanada.org","October","/documents/child-care-news/20/08/economic-impact-covid-19-has-disproportionately-hit-women"
"childcarecanada.org","October","/documents/child-care-news/20/09/child-care-key-womens-recovery-economic-impacts-covid-19-report"
"chnhousingpartners.org","October","/rental-assistance-is-now-available-for-those-economically-impacted-by-covid-19/"
"www.business-humanrights.org","October","/en/latest-news/csos-call-on-govts-brands-suppliers-to-urgently-mitigate-health-economic-impacts-on-60-million-garment-workers-bearing-brunt-of-covid-19-crisis/"
"centerforvaccineethicsandpolicy.net",,"/2021/05/23/socioeconomic-impacts-of-covid-19-in-low-income-countries/"
"centerforvaccineethicsandpolicy.net",,"/2021/05/23/socioeconomic-impacts-of-covid-19-in-low-income-countries/"
"www.nbcsvg.com","October","/2020/06/22/st-vincent-and-the-grenadines-continues-to-feel-the-economic-impact-of-covid-19/"
"www.nbcsvg.com","October","/2020/06/23/the-government-of-st-vincent-and-the-grenadines-has-embarked-on-a-number-of-food-security-initiatives-in-response-to-the-economic-impact-of-the-covid-19-pandemic-on-the-local-economy/"
"www.nbcsvg.com","October","/2020/08/21/the-ministry-of-agriculture-is-continuing-to-provide-support-to-farmers-to-help-to-cushion-the-economic-impact-of-the-covid-19-pandemic/"
"disasterchannel.co",,"/2020/12/28/igcn-economic-impact-covid-19-role-business-world-quality-life-families-children/"
"cocareer.com","October","/grubhub-and-major-cities-across-the-u-s-launch-economic-relief-effort-up-to-100-million-for-independent-restaurants-and-delivery-partners-impacted-by-covid-19/"
"bizmagsb.com","October","/2020/05/14/united-ways-ask-families-across-louisiana-to-complete-important-survey-to-assess-economic-impact-of-covid-19/"
"www.airiters.com","October","/social-and-economic-impacts-of-covid-19-across-sub-saharan-africa/"
